purchase_id,customer_id,pet_id,product_id,category,breed,size_category,weight_kg,age_group,age_years,allergy,health_condition,purchased_at,quantity,rating,review,is_holdout
O00011,C0004,P0004,F0124,간식,도베르만,대형,30.8,퍼피,0.5,,,2025-12-06,1,3,가격 대비 괜찮아요. 특별한 건 없어요. 덩치가 커서 그런지 먹는 양도 많아요.,0
O00012,C0004,P0004,F0122,간식,도베르만,대형,30.8,퍼피,0.5,,,2026-02-24,1,4,훈련용으로 쓰려고 구매했어요. 많이 먹어도 속이 편한지 컨디션이 좋아요. 훈련할 때 반응이 확실히 좋아졌어요. 다른 맛도 사보려고요.,1
O00013,C0005,P0005,F0194,간식,시츄,소형,2.1,성견,3.2,,,2025-06-28,1,4,이빨 약한 노령견용으로 부드러운 걸 찾았어요. 크기가 적당해서 소형견도 먹기 편해요. 소분하기 좋게 포장돼 있어서 편해요. 눈물자국이 줄어든 것 같기도 해요. 효과가 좋아서 재구매 의사 있어요.,0
O00014,C0005,P0005,F0189,간식,시츄,소형,2.1,성견,3.2,,,2026-04-14,1,5,산책 보상용으로 구매했어요. 잘 먹긴 하는데 너무 딱딱해서 걱정돼요. 입이 작은 아이라 한 번에 많이는 못 먹어요. 훈련용으로 계속 재구매할 것 같아요.,1
O00015,C0006,P0006,F0116,간식,시바견,중형,18.4,성견,5.8,,,2025-06-29,3,4,미용 보상용으로 하나 사봤어요. 냄새 맡자마자 자리에 앉아서 기다려요.,1
O00016,C0006,P0007,F0059,사료,시츄,소형,6.2,성견,6.9,,,2026-02-01,1,5,소형견이라 알갱이 작은 걸로 찾다가 발견했어요. 편식하던 아이인데 이건 남김없이 먹어요. 냄새를 맡자마자 좋아하더라고요. 이 사료로 계속 갈 것 같아요.,1
O00017,C0007,P0008,F0148,간식,웰시코기,중형,17.8,시니어,11.1,,,2025-11-16,2,5,소형견용 작은 사이즈로 찾다가 발견했어요. 손에 들자마자 꼬리 흔들며 달려와요. 너무 딱딱하지 않아서 노령견도 잘 씹어요.,0
O00018,C0007,P0008,F0010,사료,웰시코기,중형,17.8,시니어,11.1,,,2026-01-17,5,3,시니어 사료로 갈아탈 시기가 돼서 주문했어요. 가격은 좀 있는데 그만큼 잘 먹어서 만족해요. 그럭저럭 먹이고 있어요.,1
O00019,C0007,P0009,F0020,사료,치와와,소형,4.4,성견,6.3,,,2025-11-29,1,5,기존 사료 단종돼서 급하게 대체품 찾았어요. 변 색깔이랑 굳기가 딱 좋아요. 재구매 예정입니다.,0
O00020,C0007,P0009,F0054,사료,치와와,소형,4.4,성견,6.3,,,2026-03-25,2,5,퍼피 전용으로 바꿔주려고 구매했어요. 냄새 맡고 좋아하긴 하는데 이상하게 살은 안 쪄요. 소형견이라 알갱이(크기)가 딱 맞아요. 재구매 예정입니다.,0
O00021,C0007,P0009,F0014,사료,치와와,소형,4.4,성견,6.3,,,2026-05-24,1,5,동물병원에서 체중 관리용으로 추천받았어요. 소화가 잘 되는지 방귀 냄새도 줄었어요. 활력이 좋아진 것 같아요. 소형견이라 알갱이(크기)가 딱 맞아요. 주변 강아지 친구들에게도 추천했어요.,0
O00022,C0007,P0009,F0009,사료,치와와,소형,4.4,성견,6.3,,,2026-07-28,2,3,수의사 추천으로 바꿔봤어요. 맛은 있나 본데 변 냄새가 너무 독해졌어요. 무난하게 급여 중입니다.,1
O00023,C0008,P0010,F0164,간식,시츄,소형,4.8,성견,2.8,,,2024-10-03,1,5,퍼피용 부드러운 간식 찾던 중이었어요. 너무 딱딱하지 않아서 노령견도 잘 씹어요. 소분하기 좋게 포장돼 있어서 편해요. 눈물자국이 줄어든 것 같기도 해요ㅎㅎ,0
O00024,C0008,P0010,F0157,간식,시츄,소형,4.8,성견,2.8,,,2025-03-21,1,5,다이어트 중이라 저칼로리 간식으로 골랐어요. 한 개 주면 더 달라고 계속 쳐다봐요. 다른 맛도 사보려고요.,0
O00025,C0008,P0010,F0020,사료,시츄,소형,4.8,성견,2.8,,,2025-07-03,1,5,입질 심한 아이라 소화 잘되는 걸로 찾았어요. 냄새를 맡자마자 좋아하더라고요. 입이 짧은 시츄인데도 잘 먹어요. 강력 추천해요.,0
O00026,C0008,P0010,F0140,간식,시츄,소형,4.8,성견,2.8,,,2025-12-14,1,4,새로운 맛 궁금해서 시켜봤어요. 냄새 맡자마자 자리에 앉아서 기다려요. 편식하는 아이도 이건 잘 먹어요.,1
O00027,C0009,P0011,F0188,간식,요크셔테리어,소형,4.2,성견,2.6,피부 알레르기 체질,,2026-07-12,2,5,훈련용으로 쓰려고 구매했어요. 훈련할 때 반응이 확실히 좋아졌어요. 크기가 적당해서 소형견도 먹기 편해요. 훈련용으로 계속 재구매할 것 같아요.,0
O00028,C0009,P0011,F0133,간식,요크셔테리어,소형,4.2,성견,2.6,피부 알레르기 체질,,2026-07-12,1,2,"여행 갈 때 간식으로 챙기려고 샀어요. 냄새는 좋아하는데 막상 안 먹어요. 입이 작은 아이라 한 번에 많이는 못 먹어요. 전혀 안 먹어요, 비추합니다.",0
O00029,C0009,P0011,F0196,간식,요크셔테리어,소형,4.2,성견,2.6,피부 알레르기 체질,,2026-07-13,1,1,퍼피용 부드러운 간식 찾던 중이었어요. 잘 씹어 먹긴 하는데 양이 너무 적어서 금방 없어져요. 소형견이라 알갱이(크기)가 딱 맞아요. 다른 브랜드로 바꿔보려고요.,0
O00030,C0009,P0011,F0101,간식,요크셔테리어,소형,4.2,성견,2.6,피부 알레르기 체질,,2026-07-14,1,4,치석 제거 효과가 있는지 이빨이 깨끗해졌어요. 많이 먹어도 속이 편한지 컨디션이 좋아요. 입이 작은 아이라 한 번에 많이는 못 먹어요. 강아지들 사이에서 인기템이에요ㅜㅜ,0
O00031,C0009,P0011,F0082,사료,요크셔테리어,소형,4.2,성견,2.6,피부 알레르기 체질,,2026-07-28,1,5,대형견이라 그런지 사료값이 만만치 않아서 가성비 좋은 걸로 골랐어요. 밥 시간마다 꼬리를 흔들면서 달려와요. 변 색깔이랑 굳기가 딱 좋아요. 소형견 특유의 예민한 장인데도 탈 없이 잘 먹어요. 효과가 좋아서 재구매 의사 있어요.,0
O00032,C0009,P0011,F0066,사료,요크셔테리어,소형,4.2,성견,2.6,피부 알레르기 체질,,2026-07-30,1,4,"예민한 장 때문에 저자극 사료 찾던 중이었어요. 처음엔 잘 먹더니 요즘은 시들해요, 그래도 소화는 잘 되는 것 같아요. 소형견이라 알갱이(크기)가 딱 맞아요!!",1
O00033,C0009,P0012,F0142,간식,허스키,대형,27.8,성견,5.2,,,2026-07-12,1,5,다이어트 중이라 저칼로리 간식으로 골랐어요. 손에 들자마자 꼬리 흔들며 달려와요. 덩치가 커서 그런지 먹는 양도 많아요. 효과가 좋아서 재구매 의사 있어요.,0
O00034,C0009,P0012,F0106,간식,허스키,대형,27.8,성견,5.2,,,2026-08-03,1,1,간식 먹고 나서 변이 물러졌어요. 부스러기가 많이 떨어져서 청소가 번거로워요. 털갈이가 심한 아이인데 피모 상태가 좋아진 것 같아요.,0
O00035,C0009,P0012,F0020,사료,허스키,대형,27.8,성견,5.2,,,2026-08-10,1,3,잘 먹는 편인데 가끔 토를 해서 지켜보고 있어요. 덩치가 커서 그런지 먹는 양도 많아요.,1
O00036,C0009,P0013,F0109,간식,요크셔테리어,소형,4.8,시니어,13.0,,,2026-07-11,1,4,치석 관리용으로 알아보다 샀어요. 냄새 맡자마자 자리에 앉아서 기다려요. 치석 제거 효과가 있는지 이빨이 깨끗해졌어요. 강아지들 사이에서 인기템이에요.,0
O00037,C0009,P0013,F0079,사료,요크셔테리어,소형,4.8,시니어,13.0,,,2026-07-15,1,4,동물병원에서 체중 관리용으로 추천받았어요. 우리 아이가 정말 잘 먹어요. 활력이 좋아진 것 같아요. 이 사료로 계속 갈 것 같아요.,0
O00038,C0009,P0013,F0069,사료,요크셔테리어,소형,4.8,시니어,13.0,,,2026-07-17,1,5,수의사 추천으로 바꿔봤어요. 사료 그릇을 핥아먹을 정도로 좋아해요. 이 사료로 계속 갈 것 같아요.,0
O00039,C0009,P0013,F0084,사료,요크셔테리어,소형,4.8,시니어,13.0,,,2026-07-19,1,4,적응 기간엔 잘 먹었는데 점점 흥미를 잃는 것 같아요. 이빨이 약해진 나이라 부드러운 걸 좋아해요. 재구매 예정입니다.,0
O00040,C0009,P0013,F0057,사료,요크셔테리어,소형,4.8,시니어,13.0,,,2026-07-20,5,4,시니어 사료로 갈아탈 시기가 돼서 주문했어요. 소화가 잘 되는지 방귀 냄새도 줄었어요. 편식하던 아이인데 이건 남김없이 먹어요. 나이가 있어서 그런지 예전보다 적게 먹네요. 강력 추천해요.,0
O00041,C0009,P0013,F0011,사료,요크셔테리어,소형,4.8,시니어,13.0,,,2026-07-29,1,5,퍼피 전용으로 바꿔주려고 구매했어요. 변 상태가 훨씬 단단해졌어요. 주변 강아지 친구들에게도 추천했어요.,0
O00042,C0009,P0013,F0059,사료,요크셔테리어,소형,4.8,시니어,13.0,,,2026-08-01,1,3,입질 심한 아이라 소화 잘되는 걸로 찾았어요. 먹는 건 좋아하는데 방귀 냄새가 심해졌어요. 그럭저럭 먹이고 있어요.,0
O00043,C0009,P0013,F0068,사료,요크셔테리어,소형,4.8,시니어,13.0,,,2026-08-04,1,5,소형견이라 알갱이 작은 걸로 찾다가 발견했어요. 장이 편안한지 컨디션이 좋아 보여요. 효과가 좋아서 재구매 의사 있어요ㅜㅜ,1
O00044,C0010,P0014,F0158,간식,시츄,소형,4.3,시니어,13.8,,,2025-10-11,3,3,이빨 약한 노령견용으로 부드러운 걸 찾았어요. 맛있게는 먹는데 가격이 좀 부담돼요. 그냥저냥 주고 있어요.,0
O00045,C0010,P0014,F0036,사료,시츄,소형,4.3,시니어,13.8,,,2026-01-09,1,2,"리뷰 좋길래 반신반의로 시켜봤어요. 입맛에 안 맞는지 자꾸 남겨요. 전혀 안 먹어요, 비추합니다ㅜㅜ",1
O00046,C0011,P0015,F0052,사료,시츄,소형,6.5,성견,2.2,,,2024-06-15,2,4,곡물 알레르기 있어서 곡물프리로 알아보다 구매했어요. 기호성은 최고인데 며칠 먹이니 살짝 가려워하더라고요. 주변 강아지 친구들에게도 추천했어요.,1
O00047,C0012,P0016,F0156,간식,골든리트리버,대형,21.0,성견,6.6,닭고기 알레르기,,2026-04-27,1,5,산책 보상용으로 구매했어요. 한 개 주면 더 달라고 계속 쳐다봐요. 훈련할 때 반응이 확실히 좋아졌어요. 골든리트리버답게 뭐든 잘 먹는 편이에요.,0
O00048,C0012,P0016,F0157,간식,골든리트리버,대형,21.0,성견,6.6,닭고기 알레르기,,2026-05-23,1,5,많이 먹어도 속이 편한지 컨디션이 좋아요. 편식하는 아이도 이건 잘 먹어요. 덩치가 커서 그런지 먹는 양도 많아요. 효과가 좋아서 재구매 의사 있어요.,0
O00049,C0012,P0016,F0176,간식,골든리트리버,대형,21.0,성견,6.6,닭고기 알레르기,,2026-06-25,1,5,크기가 적당해서 소형견도 먹기 편해요. 너무 딱딱하지 않아서 노령견도 잘 씹어요. 훈련용으로 계속 재구매할 것 같아요.,1
O00050,C0013,P0017,F0135,간식,프렌치불독,중형,19.5,성견,4.8,,,2025-06-01,1,5,소형견용 작은 사이즈로 찾다가 발견했어요. 소분하기 좋게 포장돼 있어서 편해요. 활동량이 있는 편이라 이 정도는 금방 먹어요. 다른 맛도 사보려고요.,0
O00051,C0013,P0017,F0060,사료,프렌치불독,중형,19.5,성견,4.8,,,2025-10-13,1,3,다른 사료 다 먹여봤는데 이게 제일 잘 맞아서 재구매했어요. 기호성은 좋은데 변이 자주 묽게 나와서 고민이에요. 활동량이 있는 편이라 이 정도는 금방 먹어요. 그럭저럭 먹이고 있어요.,0
O00052,C0013,P0017,F0028,사료,프렌치불독,중형,19.5,성견,4.8,,,2025-12-02,1,5,잘 먹는데 사료 냄새가 집안에 좀 남아요. 활동량이 있는 편이라 이 정도는 금방 먹어요. 재구매 예정입니다.,0
O00053,C0013,P0017,F0179,간식,프렌치불독,중형,19.5,성견,4.8,,,2025-12-06,1,5,장난감 대신 씹을 거리로 골랐어요. 손에 들자마자 꼬리 흔들며 달려와요!!,0
O00054,C0013,P0017,F0054,사료,프렌치불독,중형,19.5,성견,4.8,,,2026-01-31,1,4,물에 불리지 않아도 잘 먹어요. 이 사료로 계속 갈 것 같아요.,0
O00055,C0013,P0017,F0119,간식,프렌치불독,중형,19.5,성견,4.8,,,2026-03-15,1,5,너무 딱딱하지 않아서 노령견도 잘 씹어요. 코가 짧은 아이라 급하게 먹다가 사레들릴까 걱정했는데 괜찮아요. 다른 맛도 사보려고요.,0
O00056,C0013,P0017,F0138,간식,프렌치불독,중형,19.5,성견,4.8,,,2026-06-01,1,5,새로운 맛 궁금해서 시켜봤어요. 많이 먹어도 속이 편한지 컨디션이 좋아요. 편식하는 아이도 이건 잘 먹어요. 효과가 좋아서 재구매 의사 있어요.,0
O00057,C0013,P0017,F0148,간식,프렌치불독,중형,19.5,성견,4.8,,,2026-07-04,1,5,심심할 때 주려고 대용량으로 샀어요. 치석 제거 효과가 있는지 이빨이 깨끗해졌어요. 훈련용으로 계속 재구매할 것 같아요.,1
O00058,C0014,P0018,F0197,간식,시바견,중형,16.3,시니어,11.3,,,2024-12-22,2,4,미용 보상용으로 하나 사봤어요. 소분하기 좋게 포장돼 있어서 편해요. 훈련할 때 반응이 확실히 좋아졌어요. 활동량이 있는 편이라 이 정도는 금방 먹어요. 강아지들 사이에서 인기템이에요.,0
O00059,C0014,P0018,F0118,간식,시바견,중형,16.3,시니어,11.3,,,2025-05-24,1,5,훈련용으로 쓰려고 구매했어요. 냄새 맡자마자 자리에 앉아서 기다려요. 한 개 주면 더 달라고 계속 쳐다봐요. 나이가 있어서 그런지 예전보다 적게 먹네요. 다른 맛도 사보려고요!!,0
O00060,C0014,P0018,F0083,사료,시바견,중형,16.3,시니어,11.3,,,2025-07-12,1,4,첫 사료라 고민 많이 하다가 골랐어요. 털에 윤기가 도는 게 눈에 보여요. 그릇 비우는 속도가 달라졌어요. 활동량이 있는 편이라 이 정도는 금방 먹어요.,0
O00061,C0014,P0018,F0087,사료,시바견,중형,16.3,시니어,11.3,,,2026-02-20,5,1,대형견이라 그런지 사료값이 만만치 않아서 가성비 좋은 걸로 골랐어요. 냄새는 맡는데 잘 안 먹어요. 가스가 심해진 것 같아요. 중형견이라 적당한 양인 것 같아요. 다른 사료 알아보려고요~,1
O00062,C0015,P0019,F0085,사료,보더콜리,중형,14.1,퍼피,0.7,,,2026-04-29,1,5,예민한 장 때문에 저자극 사료 찾던 중이었어요. 활력이 좋아진 것 같아요. 그릇 비우는 속도가 달라졌어요. 중형견이라 적당한 양인 것 같아요. 효과가 좋아서 재구매 의사 있어요ㅎㅎ,0
O00063,C0015,P0019,F0186,간식,보더콜리,중형,14.1,퍼피,0.7,,,2026-05-16,1,5,심심할 때 주려고 대용량으로 샀어요. 크기가 적당해서 소형견도 먹기 편해요. 손에 들자마자 꼬리 흔들며 달려와요. 강아지들 사이에서 인기템이에요.,0
O00064,C0015,P0019,F0179,간식,보더콜리,중형,14.1,퍼피,0.7,,,2026-05-24,1,3,이빨 약한 노령견용으로 부드러운 걸 찾았어요. 그냥 그래요. 성장기라 그런지 잘 먹고 살도 오르는 것 같아요!!,0
O00065,C0015,P0019,F0146,간식,보더콜리,중형,14.1,퍼피,0.7,,,2026-05-25,1,5,치석 관리용으로 알아보다 샀어요. 많이 먹어도 속이 편한지 컨디션이 좋아요. 훈련용으로 계속 재구매할 것 같아요!!,0
O00066,C0015,P0019,F0004,사료,보더콜리,중형,14.1,퍼피,0.7,,,2026-06-03,1,4,잘 먹기는 하는데 변이 좀 무르게 나와요. 강력 추천해요.,0
O00067,C0015,P0019,F0058,사료,보더콜리,중형,14.1,퍼피,0.7,,,2026-08-01,1,4,대용량으로 시켜봤어요. 양은 적당한데 곡물이 들어있어서 우리 아이한테는 살짝 안 맞았어요. 이 사료로 계속 갈 것 같아요.,1
O00068,C0016,P0020,F0148,간식,진돗개,대형,30.6,성견,1.9,,,2024-06-27,1,3,퍼피용 부드러운 간식 찾던 중이었어요. 냄새는 좋아하는데 크기가 커서 나눠줘야 해요. 무난하게 급여 중입니다.,0
O00069,C0016,P0020,F0139,간식,진돗개,대형,30.6,성견,1.9,,,2024-10-29,1,2,처음만 좋아하고 그다음부턴 안 먹으려 해요. 크기가 너무 커서 소형견은 나눠줘야 해요. 대형견이라 그런지 양이 금방 줄어요.,0
O00070,C0016,P0020,F0041,사료,진돗개,대형,30.6,성견,1.9,,,2024-11-01,3,3,기존 사료 단종돼서 급하게 대체품 찾았어요. 잘 먹기는 하는데 변이 좀 무르게 나와요. 대형견이라 그런지 양이 금방 줄어요. 무난하게 급여 중입니다.,0
O00071,C0016,P0020,F0009,사료,진돗개,대형,30.6,성견,1.9,,,2025-04-25,2,2,다른 간식 섞어줘야 겨우 먹어요. 변이 좀 무르게 나와요. 덩치가 커서 그런지 먹는 양도 많아요. 환불 문의했어요.,0
O00072,C0016,P0020,F0155,간식,진돗개,대형,30.6,성견,1.9,,,2025-05-22,1,4,여행 갈 때 간식으로 챙기려고 샀어요. 소분하기 좋게 포장돼 있어서 편해요. 편식하는 아이도 이건 잘 먹어요. 효과가 좋아서 재구매 의사 있어요.,0
O00073,C0016,P0020,F0053,사료,진돗개,대형,30.6,성견,1.9,,,2026-08-06,1,5,기존 사료 단종돼서 급하게 대체품 찾았어요. 변 상태가 훨씬 단단해졌어요. 물에 불리지 않아도 잘 먹어요. 재구매 예정입니다.,1
O00074,C0016,P0021,F0021,사료,허스키,대형,37.9,퍼피,0.5,,,2024-09-07,2,4,동물병원에서 체중 관리용으로 추천받았어요. 털에 윤기가 도는 게 눈에 보여요. 소화가 잘 되는지 방귀 냄새도 줄었어요. 털갈이가 심한 아이인데 피모 상태가 좋아진 것 같아요. 주변 강아지 친구들에게도 추천했어요.,0
O00075,C0016,P0021,F0096,사료,허스키,대형,37.9,퍼피,0.5,,,2024-09-12,1,2,입질 심한 아이라 소화 잘되는 걸로 찾았어요. 가격은 좀 있는데 그만큼 잘 먹어서 만족해요. 재구매 의사 없어요.,0
O00076,C0016,P0021,F0036,사료,허스키,대형,37.9,퍼피,0.5,,,2024-11-22,1,3,특별히 좋지도 나쁘지도 않아요. 보통이에요. 성장기라 그런지 잘 먹고 살도 오르는 것 같아요. 그럭저럭 먹이고 있어요.,0
O00077,C0016,P0021,F0076,사료,허스키,대형,37.9,퍼피,0.5,,,2025-08-19,1,3,"처음엔 잘 먹더니 요즘은 시들해요, 그래도 소화는 잘 되는 것 같아요. 털갈이가 심한 아이인데 피모 상태가 좋아진 것 같아요.",0
O00078,C0016,P0021,F0080,사료,허스키,대형,37.9,퍼피,0.5,,,2026-01-31,2,5,첫 사료라 고민 많이 하다가 골랐어요. 사료 그릇을 핥아먹을 정도로 좋아해요.,0
O00079,C0016,P0021,F0020,사료,허스키,대형,37.9,퍼피,0.5,,,2026-02-14,1,2,"퍼피 전용으로 바꿔주려고 구매했어요. 설사를 해서 바로 끊었어요. 변 냄새가 심해졌어요. 대형견이라 그런지 양이 금방 줄어요. 전혀 안 먹어요, 비추합니다.",1
O00080,C0017,P0022,F0189,간식,미니어처닥스훈트,소형,3.6,성견,3.0,특정 단백질 민감,,2025-09-23,2,5,다이어트 중이라 저칼로리 간식으로 골랐어요. 훈련할 때 반응이 확실히 좋아졌어요.,0
O00081,C0017,P0022,F0025,사료,미니어처닥스훈트,소형,3.6,성견,3.0,특정 단백질 민감,,2026-06-21,1,4,소형견이라 알갱이 작은 걸로 찾다가 발견했어요. 밥 시간마다 꼬리를 흔들면서 달려와요. 우리 아이가 정말 잘 먹어요. 강력 추천해요.,0
O00082,C0017,P0022,F0092,사료,미니어처닥스훈트,소형,3.6,성견,3.0,특정 단백질 민감,,2026-08-03,1,5,곡물 알레르기 있어서 곡물프리로 알아보다 구매했어요. 편식하던 아이인데 이건 남김없이 먹어요. 냄새를 맡자마자 좋아하더라고요. 허리가 약한 아이라 체중 관리에 신경 쓰는데 도움이 되는 것 같아요. 효과가 좋아서 재구매 의사 있어요.,1
O00083,C0018,P0023,F0085,사료,래브라도리트리버,대형,32.2,성견,4.7,,,2024-05-08,1,2,시니어 사료로 갈아탈 시기가 돼서 주문했어요. 그릇 앞에서 킁킁거리기만 하고 돌아서요. 처음엔 좀 먹더니 며칠 지나니 안 먹으려고 해요.,0
O00084,C0018,P0023,F0039,사료,래브라도리트리버,대형,32.2,성견,4.7,,,2024-05-22,2,3,수의사 추천으로 바꿔봤어요. 그럭저럭 먹고 있어요. 나쁘지 않아요. 덩치가 커서 그런지 먹는 양도 많아요. 무난하게 급여 중입니다.,0
O00085,C0018,P0023,F0078,사료,래브라도리트리버,대형,32.2,성견,4.7,,,2024-09-22,1,4,대용량으로 시켜봤어요. 기호성은 최고인데 며칠 먹이니 살짝 가려워하더라고요. 효과가 좋아서 재구매 의사 있어요.,0
O00086,C0018,P0023,F0199,간식,래브라도리트리버,대형,32.2,성견,4.7,,,2025-05-31,1,5,새로운 맛 궁금해서 시켜봤어요. 치석 제거 효과가 있는지 이빨이 깨끗해졌어요. 덩치가 커서 그런지 먹는 양도 많아요. 다른 맛도 사보려고요ㅎㅎ,0
O00087,C0018,P0023,F0013,사료,래브라도리트리버,대형,32.2,성견,4.7,,,2026-02-24,2,1,예민한 장 때문에 저자극 사료 찾던 중이었어요. 소화가 잘 안 되는지 토를 몇 번 했어요. 변 냄새가 심해졌어요. 환불 문의했어요.,0
O00088,C0018,P0023,F0064,사료,래브라도리트리버,대형,32.2,성견,4.7,,,2026-05-27,1,5,리뷰 좋길래 반신반의로 시켜봤어요. 냄새 맡고 좋아하긴 하는데 이상하게 살은 안 쪄요. 대형견이라 그런지 양이 금방 줄어요.,1
O00089,C0018,P0024,F0125,간식,프렌치불독,중형,12.8,성견,6.5,피부 알레르기 체질,,2024-05-18,1,3,장난감 대신 씹을 거리로 골랐어요. 좋아하긴 하는데 며칠 먹이니 살짝 가려워하는 것 같아요!!,0
O00090,C0018,P0024,F0045,사료,프렌치불독,중형,12.8,성견,6.5,피부 알레르기 체질,,2024-06-19,3,2,그릇 앞에서 킁킁거리기만 하고 돌아서요. 피부에 발진이 올라와서 놀랐어요. 중형견이라 적당한 양인 것 같아요.,0
O00091,C0018,P0024,F0064,사료,프렌치불독,중형,12.8,성견,6.5,피부 알레르기 체질,,2025-09-29,2,3,대형견이라 그런지 사료값이 만만치 않아서 가성비 좋은 걸로 골랐어요. 가격 대비 괜찮아요. 특별히 좋지도 나쁘지도 않아요. 코가 짧은 아이라 급하게 먹다가 사레들릴까 걱정했는데 괜찮아요.,0
O00092,C0018,P0024,F0118,간식,프렌치불독,중형,12.8,성견,6.5,피부 알레르기 체질,,2025-12-13,1,5,미용 보상용으로 하나 사봤어요. 한 개 주면 더 달라고 계속 쳐다봐요. 크기가 적당해서 소형견도 먹기 편해요. 활동량이 있는 편이라 이 정도는 금방 먹어요. 훈련용으로 계속 재구매할 것 같아요.,1
O00093,C0018,P0025,F0108,간식,포메라니안,소형,4.4,성견,1.1,,,2024-03-24,1,5,산책 보상용으로 구매했어요. 너무 딱딱하지 않아서 노령견도 잘 씹어요. 강아지들 사이에서 인기템이에요.,0
O00094,C0018,P0025,F0029,사료,포메라니안,소형,4.4,성견,1.1,,,2024-04-05,1,3,먹는 건 좋아하는데 방귀 냄새가 심해졌어요.,1
O00095,C0019,P0026,F0083,사료,래브라도리트리버,대형,24.0,시니어,10.3,,,2026-05-10,1,4,다른 사료 다 먹여봤는데 이게 제일 잘 맞아서 재구매했어요. 양은 적당한데 곡물이 들어있어서 우리 아이한테는 살짝 안 맞았어요. 노령견이라 소화가 잘 되는지 걱정했는데 다행히 괜찮아요. 강력 추천해요.,0
O00096,C0019,P0026,F0192,간식,래브라도리트리버,대형,24.0,시니어,10.3,,,2026-07-15,1,2,과식했더니 토를 하더라고요.,1
O00097,C0019,P0027,F0122,간식,시츄,소형,2.9,성견,3.8,,,2026-03-02,1,3,소형견용 작은 사이즈로 찾다가 발견했어요. 보통이에요. 입이 작은 아이라 한 번에 많이는 못 먹어요. 그냥저냥 주고 있어요.,0
O00098,C0019,P0027,F0116,간식,시츄,소형,2.9,성견,3.8,,,2026-04-02,1,5,냄새 맡자마자 자리에 앉아서 기다려요. 효과가 좋아서 재구매 의사 있어요.,0
O00099,C0019,P0027,F0193,간식,시츄,소형,2.9,성견,3.8,,,2026-04-03,5,4,여행 갈 때 간식으로 챙기려고 샀어요. 손에 들자마자 꼬리 흔들며 달려와요. 치석 제거 효과가 있는지 이빨이 깨끗해졌어요. 입이 작은 아이라 한 번에 많이는 못 먹어요. 강아지들 사이에서 인기템이에요.,0
