pet_id,customer_id,breed,birth_date,gender,weight_kg,neutered,allergies,feeding_purpose,diet_preference,food_form_preference,updated_at
P0049,C0035,치와와,2024-05-16,F,1.8,1,소고기,다이어트,식이까다로움,건식,2026-08-11
P0050,C0036,비숑프리제,2024-12-27,M,4.7,0,없음,없음,식이까다로움,혼합,2026-08-11
P0051,C0037,치와와,2023-12-17,F,2.5,0,없음,관절,식탐많음,습식,2026-08-11
P0052,C0037,시츄,2013-07-19,M,7.1,0,없음,다이어트,보통,건식,2026-08-11
P0053,C0038,골든리트리버,2014-09-27,M,28.3,1,곡물,관절,식탐많음,건식,2026-08-11
P0054,C0039,래브라도리트리버,2024-11-23,M,34.7,1,곡물,없음,보통,건식,2026-08-11
P0055,C0039,비숑프리제,2023-10-04,M,4.7,1,곡물|유제품,피부,식이까다로움,건식,2026-08-11
P0056,C0040,웰시코기,2025-01-18,F,11.1,1,유제품,피부,식이까다로움,건식,2026-08-11
P0057,C0041,비숑프리제,2012-10-21,M,4.6,1,곡물|닭고기|소고기,없음,식이까다로움,건식,2026-08-11
P0058,C0042,시바견,2013-08-07,F,10.9,1,곡물,없음,식이까다로움,혼합,2026-08-11
P0059,C0043,시츄,2025-07-12,F,6.5,1,없음,피부,식이까다로움,습식,2026-08-11
P0060,C0044,비글,2020-10-22,F,10.0,1,소고기,없음,식이까다로움,혼합,2026-08-11
P0061,C0045,푸들,2023-04-16,M,2.5,1,곡물|유제품,관절,식탐많음,습식,2026-08-11
P0062,C0045,진돗개,2011-11-17,F,22.7,1,없음,피부,보통,습식,2026-08-11
P0063,C0045,포메라니안,2024-09-06,M,2.7,0,곡물,피부,식탐많음,혼합,2026-08-11
P0064,C0046,골든리트리버,2012-07-24,M,27.5,1,닭고기|소고기|유제품,관절,보통,습식,2026-08-11
P0065,C0046,래브라도리트리버,2021-12-23,F,27.1,0,없음,피부,식탐많음,습식,2026-08-11
P0066,C0047,골든리트리버,2014-09-07,F,30.5,0,없음,없음,식탐많음,건식,2026-08-11
P0067,C0048,보더콜리,2012-11-10,M,16.3,0,곡물,관절,식탐많음,습식,2026-08-11
P0068,C0049,진돗개,2010-09-07,F,17.7,1,없음,피부,식이까다로움,건식,2026-08-11
P0069,C0049,시츄,2023-06-10,M,4.9,1,없음,관절,보통,습식,2026-08-11
P0070,C0050,비글,2025-03-15,M,10.4,0,없음,없음,식탐많음,습식,2026-08-11
P0071,C0050,시바견,2018-04-22,M,9.2,1,소고기,없음,보통,건식,2026-08-11
P0072,C0051,골든리트리버,2013-02-04,M,26.7,0,없음,피부,식탐많음,혼합,2026-08-11
P0073,C0052,푸들,2021-12-21,F,3.8,1,없음,피부,보통,혼합,2026-08-11
P0074,C0052,치와와,2025-01-08,F,2.5,1,닭고기,없음,식이까다로움,건식,2026-08-11
P0075,C0053,푸들,2015-11-30,F,4.8,1,닭고기,피부,보통,혼합,2026-08-11
P0076,C0054,진돗개,2017-07-05,F,20.4,1,곡물,관절,식이까다로움,건식,2026-08-11
P0077,C0055,말티즈,2013-10-18,M,2.0,1,곡물,피부,식이까다로움,습식,2026-08-11
P0078,C0055,시츄,2018-01-03,M,5.3,0,없음,관절,식이까다로움,습식,2026-08-11
P0079,C0055,골든리트리버,2022-03-12,M,28.6,1,없음,피부,보통,습식,2026-08-11
P0080,C0056,시츄,2011-09-20,M,6.6,1,유제품,없음,식이까다로움,혼합,2026-08-11
P0081,C0057,시바견,2014-04-04,F,10.1,1,유제품,피부,식탐많음,혼합,2026-08-11
P0082,C0057,시바견,2011-12-05,M,9.6,1,닭고기,다이어트,식탐많음,습식,2026-08-11
P0083,C0058,보더콜리,2013-02-19,F,16.3,0,곡물,없음,보통,습식,2026-08-11
P0084,C0058,비글,2021-10-15,M,13.0,1,곡물,다이어트,식탐많음,건식,2026-08-11
P0085,C0059,래브라도리트리버,2011-01-13,F,30.0,1,없음,없음,보통,건식,2026-08-11
P0086,C0060,보더콜리,2017-03-12,M,19.3,0,유제품,다이어트,보통,혼합,2026-08-11
P0087,C0060,시츄,2010-09-23,M,7.2,1,소고기,다이어트,보통,혼합,2026-08-11
P0088,C0061,보더콜리,2024-06-26,F,17.8,1,없음,관절,보통,습식,2026-08-11
P0089,C0062,말티즈,2014-06-21,M,2.7,1,소고기,없음,보통,혼합,2026-08-11
P0090,C0063,웰시코기,2022-04-12,F,12.4,0,없음,피부,식탐많음,건식,2026-08-11
P0091,C0064,시츄,2024-03-12,F,4.4,1,없음,다이어트,식이까다로움,습식,2026-08-11
P0092,C0064,비숑프리제,2017-02-08,F,5.1,1,닭고기,없음,식탐많음,건식,2026-08-11
P0093,C0064,코카스파니엘,2013-10-24,F,12.4,1,곡물|닭고기,다이어트,식탐많음,습식,2026-08-11
P0094,C0065,보더콜리,2025-05-31,F,14.7,1,닭고기|소고기|유제품,피부,보통,혼합,2026-08-11
P0095,C0066,말티즈,2010-09-22,M,3.8,0,닭고기|소고기,다이어트,식이까다로움,건식,2026-08-11
P0096,C0066,진돗개,2013-06-15,F,22.4,0,없음,관절,보통,습식,2026-08-11
P0097,C0067,래브라도리트리버,2015-03-22,M,32.3,1,없음,없음,식탐많음,혼합,2026-08-11
P0098,C0067,래브라도리트리버,2024-11-05,M,33.5,1,없음,없음,식탐많음,건식,2026-08-11
P0099,C0068,코카스파니엘,2014-01-29,F,12.2,1,없음,없음,보통,습식,2026-08-11
P0100,C0068,말티즈,2011-10-06,F,2.1,1,없음,다이어트,보통,건식,2026-08-11
P0101,C0069,포메라니안,2020-08-25,M,2.1,1,없음,관절,식탐많음,습식,2026-08-11
P0102,C0070,시바견,2012-12-04,M,10.5,1,없음,다이어트,식이까다로움,혼합,2026-08-11
P0103,C0070,비글,2012-09-02,M,10.4,1,닭고기,다이어트,식탐많음,습식,2026-08-11
P0104,C0071,웰시코기,2012-08-05,M,12.0,1,없음,피부,식탐많음,습식,2026-08-11
P0105,C0072,래브라도리트리버,2020-06-04,M,32.1,0,곡물|소고기,다이어트,식탐많음,건식,2026-08-11
P0106,C0072,보더콜리,2012-08-30,M,19.0,0,없음,관절,식이까다로움,건식,2026-08-11
P0107,C0073,래브라도리트리버,2025-05-04,M,25.7,1,없음,피부,식이까다로움,건식,2026-08-11
P0108,C0074,말티즈,2019-12-29,F,3.3,1,없음,관절,식이까다로움,건식,2026-08-11
P0109,C0075,보더콜리,2022-02-06,F,14.7,1,유제품,피부,보통,습식,2026-08-11
P0110,C0075,치와와,2013-10-29,M,2.6,0,소고기,없음,보통,건식,2026-08-11
P0111,C0076,비숑프리제,2015-08-29,M,4.0,1,소고기,관절,식탐많음,건식,2026-08-11
P0112,C0076,시바견,2016-05-26,F,8.0,1,닭고기|유제품,피부,식탐많음,혼합,2026-08-11
P0113,C0077,진돗개,2021-11-25,M,21.6,0,닭고기,없음,보통,습식,2026-08-11
P0114,C0078,웰시코기,2019-07-26,M,12.5,1,닭고기|소고기,다이어트,보통,습식,2026-08-11
P0115,C0078,웰시코기,2023-12-29,M,13.2,0,소고기,다이어트,보통,혼합,2026-08-11
P0116,C0079,골든리트리버,2014-11-22,M,31.3,1,유제품,피부,보통,습식,2026-08-11
P0117,C0080,포메라니안,2015-09-23,M,4.0,0,닭고기|유제품,없음,식이까다로움,혼합,2026-08-11
P0118,C0081,치와와,2015-03-20,M,2.8,0,닭고기,다이어트,식탐많음,건식,2026-08-11
P0119,C0082,시바견,2017-07-21,F,10.0,1,닭고기,피부,식이까다로움,습식,2026-08-11
P0120,C0082,말티즈,2017-07-14,F,3.3,1,곡물|유제품,없음,식이까다로움,습식,2026-08-11
P0121,C0083,래브라도리트리버,2015-11-18,F,33.0,0,곡물|유제품,없음,보통,혼합,2026-08-11
P0122,C0084,포메라니안,2011-10-28,F,2.3,1,없음,없음,보통,혼합,2026-08-11
P0123,C0085,포메라니안,2023-07-05,F,3.2,1,없음,다이어트,보통,습식,2026-08-11
P0124,C0086,비글,2025-04-02,F,8.1,0,없음,다이어트,보통,건식,2026-08-11
P0125,C0087,시츄,2011-09-07,M,6.8,1,유제품,피부,식이까다로움,건식,2026-08-11
P0126,C0088,비글,2022-12-22,F,11.7,1,없음,관절,보통,습식,2026-08-11
P0127,C0089,시츄,2024-12-19,M,4.5,0,없음,피부,식탐많음,건식,2026-08-11
P0128,C0090,시츄,2013-09-27,F,7.1,1,닭고기|소고기|유제품,피부,보통,혼합,2026-08-11
P0129,C0091,진돗개,2010-10-10,F,17.5,1,없음,없음,식탐많음,건식,2026-08-11
P0130,C0092,코카스파니엘,2020-06-11,M,12.5,1,없음,없음,보통,건식,2026-08-11
P0131,C0093,래브라도리트리버,2022-07-11,M,32.5,0,곡물|닭고기,다이어트,식이까다로움,습식,2026-08-11
P0132,C0093,웰시코기,2017-04-26,M,12.3,1,닭고기|소고기,관절,식탐많음,혼합,2026-08-11
P0133,C0094,비글,2017-09-03,F,10.2,1,없음,피부,식이까다로움,습식,2026-08-11
P0134,C0095,시츄,2024-11-13,M,4.5,0,유제품,관절,식이까다로움,건식,2026-08-11
P0135,C0096,시츄,2024-09-19,M,4.4,0,없음,다이어트,식탐많음,건식,2026-08-11
P0136,C0097,비글,2022-09-25,M,12.4,0,곡물,관절,보통,습식,2026-08-11
P0137,C0097,보더콜리,2024-04-27,F,17.5,1,없음,피부,식탐많음,습식,2026-08-11
P0138,C0097,래브라도리트리버,2017-11-22,F,35.7,0,없음,없음,식탐많음,혼합,2026-08-11
P0139,C0098,시츄,2023-07-10,F,4.8,1,없음,피부,식탐많음,혼합,2026-08-11
P0140,C0099,시츄,2020-10-11,M,4.3,1,없음,없음,식이까다로움,건식,2026-08-11
P0141,C0100,시바견,2023-12-12,F,8.2,0,소고기,없음,식탐많음,건식,2026-08-11
P0142,C0100,비글,2017-03-17,M,13.5,1,없음,피부,보통,건식,2026-08-11
P0143,C0101,웰시코기,2015-10-28,F,10.9,1,닭고기,없음,보통,혼합,2026-08-11
P0144,C0101,푸들,2024-09-28,F,7.6,1,닭고기,없음,식탐많음,건식,2026-08-11
P0145,C0102,비숑프리제,2023-08-28,F,4.5,0,없음,피부,식탐많음,건식,2026-08-11
P0146,C0103,푸들,2017-11-19,F,2.9,1,닭고기|유제품,피부,식탐많음,습식,2026-08-11
P0147,C0104,골든리트리버,2014-01-31,M,25.6,1,곡물|닭고기|소고기,피부,보통,혼합,2026-08-11
P0148,C0104,래브라도리트리버,2014-12-06,M,27.4,1,없음,다이어트,식이까다로움,건식,2026-08-11
P0149,C0104,웰시코기,2025-08-02,F,12.1,1,없음,다이어트,식이까다로움,습식,2026-08-11
P0150,C0105,치와와,2017-07-24,F,2.1,1,없음,다이어트,식탐많음,혼합,2026-08-11
P0151,C0106,골든리트리버,2011-08-05,F,27.8,0,없음,피부,식이까다로움,습식,2026-08-11
P0152,C0107,비숑프리제,2023-08-08,F,4.1,1,없음,관절,식탐많음,혼합,2026-08-11
P0153,C0108,시츄,2013-02-09,M,7.2,1,없음,다이어트,식이까다로움,혼합,2026-08-11
P0154,C0109,웰시코기,2016-11-15,M,10.5,1,없음,피부,보통,습식,2026-08-11
P0155,C0110,시바견,2013-06-13,M,10.6,1,소고기,없음,보통,습식,2026-08-11
P0156,C0110,시바견,2024-11-19,F,9.1,1,없음,다이어트,식이까다로움,습식,2026-08-11
P0157,C0111,푸들,2018-05-26,F,2.6,0,유제품,없음,식탐많음,건식,2026-08-11
P0158,C0111,시바견,2020-01-09,F,9.6,0,유제품,피부,식탐많음,혼합,2026-08-11
P0159,C0112,래브라도리트리버,2020-01-24,F,34.8,0,곡물|소고기|유제품,관절,식탐많음,혼합,2026-08-11
P0160,C0113,비숑프리제,2024-03-12,F,4.2,0,없음,다이어트,식탐많음,습식,2026-08-11
P0161,C0114,치와와,2020-06-30,M,1.8,1,없음,관절,식탐많음,건식,2026-08-11
P0162,C0115,시츄,2014-05-23,F,5.5,1,유제품,다이어트,식탐많음,습식,2026-08-11
P0163,C0116,골든리트리버,2011-05-31,M,31.9,1,곡물|닭고기|소고기,없음,보통,습식,2026-08-11
P0164,C0116,시바견,2014-03-15,M,10.2,1,없음,관절,식탐많음,건식,2026-08-11
P0165,C0117,치와와,2022-03-01,M,2.9,1,없음,관절,식이까다로움,습식,2026-08-11
P0166,C0117,치와와,2023-05-15,F,2.3,0,없음,다이어트,식이까다로움,습식,2026-08-11
P0167,C0118,푸들,2020-05-03,F,6.7,1,소고기,없음,식탐많음,혼합,2026-08-11
P0168,C0118,시츄,2022-09-20,M,4.3,1,닭고기,없음,보통,혼합,2026-08-11
P0169,C0119,푸들,2016-10-03,F,2.8,1,곡물,다이어트,보통,습식,2026-08-11
P0170,C0120,비글,2024-11-06,F,8.5,1,없음,다이어트,보통,혼합,2026-08-11
P0171,C0121,보더콜리,2015-06-29,F,17.6,0,닭고기|소고기|유제품,다이어트,식탐많음,혼합,2026-08-11
P0172,C0122,시츄,2021-03-25,M,4.9,1,소고기,다이어트,보통,건식,2026-08-11
P0173,C0123,시츄,2023-04-11,M,4.4,0,없음,관절,식이까다로움,건식,2026-08-11
P0174,C0123,비숑프리제,2025-02-03,M,3.9,1,없음,없음,식이까다로움,습식,2026-08-11
P0175,C0124,말티즈,2017-12-23,F,2.8,0,곡물|소고기,다이어트,보통,혼합,2026-08-11
P0176,C0124,진돗개,2020-06-17,M,21.4,1,없음,없음,식탐많음,혼합,2026-08-11
P0177,C0125,푸들,2014-09-24,M,2.9,0,없음,다이어트,보통,혼합,2026-08-11
P0178,C0126,비숑프리제,2018-01-14,F,4.8,1,없음,피부,보통,혼합,2026-08-11
P0179,C0127,래브라도리트리버,2018-06-13,F,30.6,1,곡물|닭고기|소고기,관절,식이까다로움,건식,2026-08-11
P0180,C0128,골든리트리버,2018-02-14,F,33.2,1,없음,관절,식이까다로움,혼합,2026-08-11
P0181,C0129,시츄,2011-03-18,F,5.7,0,유제품,피부,식탐많음,혼합,2026-08-11
P0182,C0130,비숑프리제,2013-09-30,M,5.7,1,없음,다이어트,보통,건식,2026-08-11
P0183,C0131,보더콜리,2018-05-18,M,18.1,0,없음,다이어트,식이까다로움,건식,2026-08-11
P0184,C0132,웰시코기,2017-09-22,F,10.8,1,없음,다이어트,식이까다로움,건식,2026-08-11
P0185,C0133,진돗개,2023-06-30,M,22.1,1,없음,관절,보통,습식,2026-08-11
P0186,C0134,래브라도리트리버,2020-10-04,M,30.2,1,소고기,피부,식이까다로움,혼합,2026-08-11
P0187,C0134,시바견,2013-11-22,F,8.8,1,없음,관절,식탐많음,건식,2026-08-11
P0188,C0135,말티즈,2017-02-13,F,2.0,0,닭고기,피부,식이까다로움,건식,2026-08-11
P0189,C0136,보더콜리,2016-12-23,M,19.5,1,곡물,다이어트,식이까다로움,혼합,2026-08-11
P0190,C0137,푸들,2011-06-21,M,6.2,0,곡물,피부,식이까다로움,습식,2026-08-11
P0191,C0138,웰시코기,2022-05-24,F,12.9,0,소고기|유제품,피부,보통,혼합,2026-08-11
P0192,C0139,비글,2016-01-24,F,11.6,0,닭고기,피부,식이까다로움,습식,2026-08-11
P0193,C0140,포메라니안,2011-10-07,M,3.1,1,닭고기,다이어트,보통,건식,2026-08-11
P0194,C0141,푸들,2019-03-22,F,3.8,1,없음,관절,식탐많음,건식,2026-08-11
P0195,C0142,비숑프리제,2025-06-18,M,3.6,1,없음,피부,식이까다로움,습식,2026-08-11
P0196,C0143,시바견,2023-08-25,M,9.5,1,소고기,피부,식이까다로움,혼합,2026-08-11
P0197,C0144,웰시코기,2014-12-28,F,12.9,0,없음,관절,식탐많음,혼합,2026-08-11
P0198,C0144,웰시코기,2025-05-16,M,13.3,1,닭고기|유제품,관절,보통,혼합,2026-08-11
P0199,C0145,시츄,2018-12-01,F,4.8,0,곡물|닭고기,관절,식탐많음,습식,2026-08-11
P0200,C0146,치와와,2023-05-04,F,2.7,1,닭고기,없음,식탐많음,습식,2026-08-11
P0201,C0147,치와와,2015-04-16,M,2.5,0,없음,다이어트,보통,건식,2026-08-11
P0202,C0147,웰시코기,2014-07-22,M,13.1,1,유제품,피부,식탐많음,건식,2026-08-11
P0203,C0148,푸들,2022-04-04,M,3.4,1,없음,없음,식이까다로움,습식,2026-08-11
P0204,C0149,웰시코기,2022-09-11,M,12.8,1,소고기,관절,식이까다로움,건식,2026-08-11
P0205,C0150,포메라니안,2011-06-06,M,3.7,1,없음,다이어트,식이까다로움,건식,2026-08-11
P0206,C0151,비글,2018-03-02,F,13.1,1,없음,없음,식탐많음,건식,2026-08-11
P0207,C0152,진돗개,2021-08-26,M,15.7,1,유제품,관절,보통,건식,2026-08-11
P0208,C0153,비글,2024-01-01,F,13.5,1,없음,피부,보통,습식,2026-08-11
P0209,C0154,골든리트리버,2022-07-15,M,25.4,1,닭고기|유제품,피부,식탐많음,건식,2026-08-11
P0210,C0154,말티즈,2022-08-28,M,3.8,0,닭고기,없음,식이까다로움,건식,2026-08-11
P0211,C0155,포메라니안,2022-09-25,M,3.7,1,곡물|소고기,피부,보통,혼합,2026-08-11
P0212,C0156,말티즈,2024-05-31,F,2.8,1,없음,관절,식이까다로움,습식,2026-08-11
P0213,C0157,치와와,2012-02-14,F,2.8,1,없음,없음,식탐많음,혼합,2026-08-11
P0214,C0158,시바견,2025-01-25,F,8.5,1,없음,관절,보통,혼합,2026-08-11
P0215,C0159,진돗개,2021-07-14,F,18.5,1,없음,다이어트,식이까다로움,혼합,2026-08-11
P0216,C0160,보더콜리,2016-03-20,F,20.0,0,닭고기|소고기|유제품,관절,식이까다로움,혼합,2026-08-11
P0217,C0161,말티즈,2014-09-22,F,3.6,1,유제품,없음,식이까다로움,습식,2026-08-11
P0218,C0162,비글,2023-01-06,M,11.2,1,곡물|유제품,다이어트,식탐많음,건식,2026-08-11
P0219,C0162,시츄,2011-08-16,M,5.9,1,없음,관절,보통,건식,2026-08-11
P0220,C0163,골든리트리버,2021-01-25,F,31.7,0,곡물|닭고기|소고기,관절,식탐많음,습식,2026-08-11
P0221,C0164,진돗개,2013-05-12,F,21.0,1,곡물,관절,식탐많음,혼합,2026-08-11
P0222,C0165,골든리트리버,2023-03-10,F,32.9,0,없음,피부,식이까다로움,혼합,2026-08-11
P0223,C0166,래브라도리트리버,2022-10-08,M,29.7,0,닭고기,피부,보통,건식,2026-08-11
P0224,C0167,비숑프리제,2025-05-15,F,3.2,1,없음,다이어트,보통,습식,2026-08-11
P0225,C0168,치와와,2025-03-26,F,1.7,0,없음,관절,보통,건식,2026-08-11
P0226,C0169,시츄,2013-01-08,M,4.9,1,없음,관절,식이까다로움,혼합,2026-08-11
P0227,C0170,비글,2014-03-21,F,8.7,1,닭고기,피부,보통,습식,2026-08-11
P0228,C0170,래브라도리트리버,2022-03-08,M,30.5,1,없음,없음,식탐많음,습식,2026-08-11
P0229,C0171,푸들,2024-04-04,M,3.1,1,유제품,다이어트,식이까다로움,습식,2026-08-11
P0230,C0171,푸들,2024-12-15,F,2.9,1,유제품,피부,보통,건식,2026-08-11
P0231,C0171,골든리트리버,2011-12-17,F,30.1,1,곡물|소고기|유제품,없음,식이까다로움,혼합,2026-08-11
P0232,C0172,비숑프리제,2018-04-27,F,4.8,1,없음,관절,식탐많음,건식,2026-08-11
P0233,C0173,코카스파니엘,2018-12-05,F,13.8,0,소고기,관절,보통,습식,2026-08-11
P0234,C0173,시츄,2011-03-15,F,5.7,1,없음,다이어트,보통,건식,2026-08-11
P0235,C0174,치와와,2024-05-13,M,1.8,0,곡물,피부,보통,습식,2026-08-11
P0236,C0174,시바견,2025-03-15,F,9.5,0,없음,없음,식탐많음,습식,2026-08-11
P0237,C0174,치와와,2023-10-02,F,1.9,1,곡물|닭고기|유제품,없음,식탐많음,건식,2026-08-11
P0238,C0175,시츄,2012-05-03,M,6.5,1,없음,없음,보통,습식,2026-08-11
P0239,C0175,진돗개,2013-02-05,F,21.8,1,없음,없음,식이까다로움,건식,2026-08-11
P0240,C0176,보더콜리,2015-01-31,M,16.3,0,곡물,없음,보통,건식,2026-08-11
P0241,C0177,코카스파니엘,2024-04-08,M,13.7,1,소고기,관절,식탐많음,습식,2026-08-11
P0242,C0178,진돗개,2013-08-01,F,22.3,1,닭고기,관절,식탐많음,건식,2026-08-11
P0243,C0179,말티즈,2020-11-05,M,3.8,0,곡물,피부,식이까다로움,건식,2026-08-11
P0244,C0179,골든리트리버,2013-09-24,F,33.4,1,없음,관절,식탐많음,혼합,2026-08-11
P0245,C0180,래브라도리트리버,2011-12-17,M,29.7,1,없음,피부,보통,건식,2026-08-11
P0246,C0181,진돗개,2014-12-01,F,17.2,1,닭고기|소고기,관절,식이까다로움,건식,2026-08-11
P0247,C0181,푸들,2025-02-27,M,5.0,1,없음,없음,식이까다로움,건식,2026-08-11
P0248,C0182,푸들,2011-09-19,F,7.1,1,없음,없음,식이까다로움,습식,2026-08-11
P0249,C0183,비숑프리제,2023-11-21,F,4.7,1,닭고기,관절,식이까다로움,건식,2026-08-11
P0250,C0183,웰시코기,2017-08-17,F,13.7,1,유제품,없음,식탐많음,건식,2026-08-11
P0251,C0184,웰시코기,2022-02-04,F,11.3,1,없음,다이어트,보통,혼합,2026-08-11
P0252,C0185,보더콜리,2020-02-04,M,14.2,0,곡물|유제품,피부,보통,건식,2026-08-11
P0253,C0186,래브라도리트리버,2018-10-16,M,30.0,1,없음,없음,보통,건식,2026-08-11
P0254,C0187,시츄,2022-04-17,F,4.1,1,없음,피부,식탐많음,습식,2026-08-11
P0255,C0188,시바견,2016-08-15,M,8.1,1,소고기,없음,식이까다로움,혼합,2026-08-11
P0256,C0189,말티즈,2025-04-04,M,3.2,1,없음,다이어트,식탐많음,습식,2026-08-11
P0257,C0190,웰시코기,2013-06-22,M,12.6,1,곡물,관절,보통,혼합,2026-08-11
P0258,C0191,진돗개,2011-11-14,M,22.5,1,없음,피부,식이까다로움,습식,2026-08-11
P0259,C0191,비숑프리제,2024-08-20,F,4.7,1,곡물,관절,식탐많음,습식,2026-08-11
P0260,C0192,코카스파니엘,2017-01-09,F,12.4,0,곡물|유제품,피부,식이까다로움,습식,2026-08-11
P0261,C0193,웰시코기,2013-10-08,F,13.6,0,유제품,관절,식탐많음,습식,2026-08-11
P0262,C0194,포메라니안,2012-06-26,F,2.8,0,곡물,없음,식이까다로움,혼합,2026-08-11
P0263,C0194,진돗개,2018-07-01,M,16.4,1,없음,다이어트,식탐많음,혼합,2026-08-11
P0264,C0195,시바견,2023-07-05,M,9.2,1,닭고기,피부,보통,혼합,2026-08-11
P0265,C0196,푸들,2011-09-21,M,7.8,1,없음,관절,식이까다로움,건식,2026-08-11
P0266,C0197,비숑프리제,2018-04-18,M,4.4,0,유제품,관절,식이까다로움,습식,2026-08-11
