product_id,crude_protein_pct,crude_fat_pct,crude_fiber_pct,crude_ash_pct,moisture_pct,calcium_pct,phosphorus_pct,sodium_pct
150,8.1,4.0,0.6,1.8,80.4,0.9,1.4,
151,30.6,8.3,3.3,7.4,9.8,1.1,0.5,0.1
152,24.4,8.7,2.4,5.2,9.8,,1.0,0.3
153,23.6,9.1,3.5,7.0,10.9,,,
155,23.7,13.3,2.3,8.7,11.4,0.7,0.5,0.1
156,9.1,4.6,1.0,1.2,73.2,2.0,1.3,
157,28.0,16.1,4.7,7.6,11.0,,,0.3
158,30.0,13.8,2.9,5.6,9.4,1.0,0.6,0.5
159,23.7,15.2,3.6,8.3,8.1,,1.3,0.2
160,29.6,14.3,4.3,7.9,8.1,0.9,1.2,
161,23.8,16.2,3.7,6.8,8.6,1.1,,
163,29.9,17.0,3.0,6.4,10.1,1.6,1.2,
164,25.0,9.9,2.4,7.0,9.0,,,0.1
166,27.0,9.1,3.4,5.3,10.1,,,
167,11.7,3.2,0.7,1.8,71.2,,,
168,26.0,12.6,3.8,9.0,9.7,,1.1,
170,9.5,3.2,1.0,2.0,80.9,1.5,,0.2
171,11.2,3.4,1.1,2.4,75.8,0.8,1.1,
173,34.0,14.7,3.6,8.1,9.7,,,0.4
174,25.0,14.2,3.0,8.2,8.6,0.9,1.2,
175,8.2,6.0,0.9,1.3,74.7,1.5,0.7,
177,23.2,9.4,4.1,7.0,8.1,,0.5,
178,22.1,11.9,3.0,5.9,10.6,1.7,,0.4
181,30.9,11.9,3.0,6.0,11.6,,0.9,0.3
183,29.1,17.2,4.5,6.6,8.4,,1.4,
185,24.9,14.0,4.6,7.0,8.5,1.6,0.7,
186,22.8,11.5,2.1,8.9,9.7,,1.0,
187,34.0,15.5,4.7,8.3,11.8,1.9,0.8,0.2
188,10.9,4.9,1.3,2.1,76.6,1.7,,
189,27.3,12.7,4.6,7.8,9.5,1.2,1.3,0.1
191,23.3,10.8,2.2,6.7,9.1,1.9,1.2,
192,11.5,4.1,0.6,2.0,80.7,1.3,1.0,
193,8.7,2.8,0.9,2.3,78.9,1.0,1.5,0.5
194,29.0,12.1,4.6,5.4,8.9,1.6,1.4,0.3
195,23.4,9.1,3.8,5.1,10.5,,0.7,0.4
196,24.0,13.4,3.0,6.8,11.4,0.8,1.0,0.1
197,22.5,16.0,3.5,8.1,8.3,0.7,1.4,
198,27.4,9.0,3.5,5.1,8.1,,,0.6
