product_id,ingredient_id
196,12
196,28
196,44
197,8
197,9
197,32
197,34
197,42
197,52
198,14
198,47
199,37
199,47
200,7
200,16
200,41
200,55
